0.1,-2,2.99591e-16,1,1.49796e-16,1.12777e-09,0,2.81943e-11,0
0.4,-2,2.99591e-16,1,1.49796e-16,7.04858e-11,0,7.04858e-12,0
0.7,-1.99987,9.3903e-05,0.999968,2.34758e-05,0.00208483,0.00152826,9.12114e-05,6.68616e-05
1,-1.9974,0.000465121,0.99934,0.000122565,0.0208224,0.00385268,0.00136309,0.000294894
1.3,-1.98028,0.00102883,0.994784,0.00031465,0.099442,0.00608935,0.0100111,0.00113781
1.6,-1.92761,0.00330617,0.97958,0.000983147,0.270755,0.0262241,0.0428246,0.00576307
1.9,-1.80762,0.00719761,0.938152,0.00335326,0.552976,0.0435235,0.181549,0.039221
2,-1.74894,0.00981517,0.914756,0.00414648,0.676905,0.0577436,0.282839,0.0334546
2.05,-1.7061,0.0137391,0.892356,0.00943853,0.800971,0.0877288,0.514031,0.15992
2.1,-1.66333,0.0135034,0.870398,0.00974132,0.934818,0.0903734,0.754089,0.217427
2.15,-1.61166,0.0164093,0.839798,0.0100109,1.07656,0.10449,1.07063,0.23964
2.2,-1.56419,0.0132001,0.81545,0.0121708,1.10422,0.0998915,1.17622,0.275144
2.25,-1.50066,0.0223656,0.772244,0.0219442,1.2695,0.140997,1.68878,0.399774
2.3,-1.4337,0.0149146,0.725966,0.0116672,1.23457,0.0718419,1.98051,0.206237
2.35,-1.36898,0.0113313,0.679276,0.0154408,1.33963,0.0582542,2.36153,0.310822
2.4,-1.30748,0.022198,0.637756,0.0226866,1.24434,0.0880773,2.40597,0.217726
2.45,-1.24966,0.0192062,0.590176,0.0185527,1.21118,0.0648725,2.56805,0.202353
2.5,-1.17878,0.0199893,0.528208,0.0199866,1.16548,0.074007,2.7258,0.173114
2.55,-1.1358,0.0233203,0.496398,0.0191289,1.04451,0.0645157,2.56097,0.0893502
2.6,-1.08868,0.0150371,0.462424,0.0224188,0.945723,0.0836703,2.42763,0.122158
2.65,-1.04768,0.0233554,0.431672,0.0236992,0.849397,0.0385044,2.28161,0.0650857
2.7,-1.00241,0.0172055,0.393318,0.0187672,0.759751,0.0568824,2.09879,0.113788
2.75,-0.966192,0.019259,0.36373,0.0161597,0.657835,0.0366182,1.88187,0.10572
2.8,-0.934692,0.0136469,0.349738,0.0174292,0.609278,0.0519069,1.72475,0.128204
2.85,-0.90524,0.0110996,0.3251,0.0143936,0.549603,0.0324052,1.57173,0.08574
2.9,-0.868204,0.00895699,0.292848,0.0131355,0.498036,0.0333919,1.40267,0.105686
2.95,-0.845788,0.0103539,0.291954,0.00911204,0.475833,0.0350496,1.32554,0.098726
3,-0.833548,0.0109586,0.281074,0.0110759,0.449094,0.0282002,1.2697,0.0670051
3,-0.828312,0.00893552,0.278844,0.0109547,0.446011,0.0260275,1.23015,0.0286737
3.3,-0.715776,0.00920819,0.221702,0.00576543,0.301769,0.0110247,0.754961,0.0363514
3.6,-0.63918,0.00678176,0.191574,0.0048425,0.233422,0.00845582,0.541707,0.0365074
3.9,-0.57566,0.00965487,0.172984,0.00460717,0.186896,0.00984974,0.426527,0.0226955
4.2,-0.52534,0.00797176,0.155862,0.00303802,0.150477,0.00624362,0.321289,0.0147122
4.5,-0.479864,0.00939937,0.14646,0.00467409,0.12435,0.0048914,0.263994,0.0149304
4.8,-0.450916,0.0115424,0.138496,0.00453072,0.108352,0.00681506,0.22196,0.0119343
